HGNC	Tissue
VTI1B	soft tissue 2
VTI1B	soft tissue 2
VTI1B	soft tissue 2
VTI1B	spleen
VTI1B	spleen
VTI1B	stomach 1
VTI1B	stomach 2
VTI1B	testis
VTI1B	liver
VTI1B	cerebellum
VTI1B	cerebellum
VTI1B	cerebellum
VTI1B	placenta
VTI1B	urinary bladder
VTI1B	esophagus
VTI1B	lung
VTI1B	lung
VTI1B	lymph node
VTI1B	lymph node
VTI1B	nasopharynx
VTI1B	caudate
VTI1B	caudate
VTI1B	small intestine
VTI1B	smooth muscle
VTI1B	soft tissue 1
VTI1B	soft tissue 1
VTI1B	prostate
VTI1B	adrenal gland
VTI1B	fallopian tube
VTI1B	gallbladder
VTI1B	skin 1
VTI1B	skin 1
VTI1B	skin 1
VTI1B	skin 1
VTI1B	skin 2
VTI1B	ovary
VTI1B	pancreas
VTI1B	pancreas
VTI1B	parathyroid gland
VTI1B	placenta
VTI1B	hippocampus
VTI1B	hippocampus
VTI1B	kidney
VTI1B	heart muscle
VTI1B	oral mucosa
VTI1B	kidney
MAP1LC3A	bone marrow
MAP1LC3A	appendix
MAP1LC3A	appendix
MAP1LC3A	cerebral cortex
MAP1LC3A	adrenal gland
MAP1LC3A	lung
MAP1LC3A	cerebral cortex
MAP1LC3A	endometrium 2
MAP1LC3A	cerebral cortex
MAP1LC3A	lymph node
MAP1LC3A	lung
MAP1LC3A	liver
MAP1LC3A	tonsil
MAP1LC3A	bronchus
MAP1LC3A	breast
MAP1LC3A	breast
MAP1LC3A	breast
MAP1LC3A	kidney
MAP1LC3A	kidney
MAP1LC3A	liver
MAP1LC3A	cerebral cortex
MAP1LC3A	rectum
MAP1LC3A	salivary gland
MAP1LC3A	seminal vesicle
MAP1LC3A	skeletal muscle
MAP1LC3A	skin 1
MAP1LC3A	cervix, uterine
MAP1LC3A	cervix, uterine
MAP1LC3A	colon
MAP1LC3A	colon
MAP1LC3A	colon
MAP1LC3A	duodenum
MAP1LC3A	endometrium 1
MAP1LC3A	endometrium 1
MAP1LC3A	endometrium 2
MAP1LC3A	soft tissue 1
MAP1LC3A	soft tissue 2
MAP1LC3A	soft tissue 2
MAP1LC3A	soft tissue 2
MAP1LC3A	soft tissue 2
MAP1LC3A	spleen
MAP1LC3A	spleen
MAP1LC3A	stomach 1
MAP1LC3A	stomach 2
MAP1LC3A	testis
MAP1LC3A	testis
MAP1LC3A	thyroid gland
MAP1LC3A	tonsil
MAP1LC3A	soft tissue 1
MAP1LC3A	ovary
MAP1LC3A	lymph node
MAP1LC3A	nasopharynx
MAP1LC3A	oral mucosa
MAP1LC3A	cerebellum
MAP1LC3A	ovary
MAP1LC3A	caudate
MAP1LC3A	caudate
MAP1LC3A	epididymis
MAP1LC3A	cerebellum
MAP1LC3A	cerebellum
MAP1LC3A	prostate
MAP1LC3A	skin 2
MAP1LC3A	skin 1
MAP1LC3A	skin 1
MAP1LC3A	skin 1
MAP1LC3A	soft tissue 1
MAP1LC3A	small intestine
MAP1LC3A	smooth muscle
MAP1LC3A	soft tissue 1
MAP1LC3A	gallbladder
MAP1LC3A	tonsil
MAP1LC3A	esophagus
MAP1LC3A	fallopian tube
MAP1LC3A	placenta
MAP1LC3A	heart muscle
MAP1LC3A	hippocampus
MAP1LC3A	hippocampus
MAP1LC3A	vagina
MAP1LC3A	placenta
MAP1LC3A	pancreas
MAP1LC3A	urinary bladder
MAP1LC3A	parathyroid gland
MAP1LC3A	pancreas
VAPA	cerebral cortex
VAPA	cerebral cortex
VAPA	epididymis
VAPA	caudate
VAPA	fallopian tube
VAPA	endometrium 2
VAPA	urinary bladder
VAPA	vagina
VAPA	esophagus
VAPA	nasopharynx
VAPA	oral mucosa
VAPA	ovary
VAPA	ovary
VAPA	caudate
VAPA	cerebellum
VAPA	cerebellum
VAPA	cerebellum
VAPA	prostate
VAPA	endometrium 1
VAPA	endometrium 2
VAPA	soft tissue 1
VAPA	rectum
VAPA	cerebral cortex
VAPA	cerebral cortex
VAPA	cervix, uterine
VAPA	cervix, uterine
VAPA	pancreas
VAPA	pancreas
VAPA	parathyroid gland
VAPA	placenta
VAPA	endometrium 1
VAPA	liver
VAPA	lung
VAPA	lung
VAPA	soft tissue 2
VAPA	soft tissue 2
VAPA	soft tissue 2
VAPA	gallbladder
VAPA	heart muscle
VAPA	hippocampus
VAPA	hippocampus
VAPA	kidney
VAPA	kidney
VAPA	liver
VAPA	smooth muscle
VAPA	soft tissue 1
VAPA	soft tissue 1
VAPA	lymph node
VAPA	lymph node
VAPA	adrenal gland
VAPA	appendix
VAPA	appendix
VAPA	bone marrow
VAPA	bronchus
VAPA	colon
VAPA	colon
VAPA	duodenum
VAPA	thyroid gland
VAPA	tonsil
VAPA	tonsil
VAPA	soft tissue 1
VAPA	skeletal muscle
VAPA	colon
VAPA	salivary gland
VAPA	seminal vesicle
VAPA	testis
VAPA	skin 1
VAPA	stomach 2
VAPA	testis
VAPA	tonsil
VAPA	spleen
VAPA	skin 2
VAPA	small intestine
VAPA	spleen
VAPA	skin 1
VAPA	stomach 1
VAPA	skin 1
VAPA	skin 1
RUBCNL	caudate
RUBCNL	duodenum
RUBCNL	bronchus
RUBCNL	colon
RUBCNL	breast
RUBCNL	endometrium 1
RUBCNL	appendix
RUBCNL	appendix
RUBCNL	kidney
RUBCNL	adrenal gland
RUBCNL	breast
RUBCNL	breast
RUBCNL	bone marrow
RUBCNL	oral mucosa
RUBCNL	caudate
RUBCNL	cerebellum
RUBCNL	cervix, uterine
RUBCNL	ovary
RUBCNL	lung
RUBCNL	lymph node
RUBCNL	lymph node
RUBCNL	nasopharynx
RUBCNL	cerebral cortex
RUBCNL	cerebral cortex
RUBCNL	cervix, uterine
RUBCNL	hippocampus
RUBCNL	skin 1
RUBCNL	skin 1
RUBCNL	skin 2
RUBCNL	small intestine
RUBCNL	endometrium 1
RUBCNL	endometrium 2
RUBCNL	endometrium 2
RUBCNL	epididymis
RUBCNL	esophagus
RUBCNL	fallopian tube
RUBCNL	gallbladder
RUBCNL	heart muscle
RUBCNL	skin 1
RUBCNL	hippocampus
RUBCNL	testis
RUBCNL	testis
RUBCNL	thyroid gland
RUBCNL	tonsil
RUBCNL	tonsil
RUBCNL	tonsil
RUBCNL	urinary bladder
RUBCNL	vagina
RUBCNL	cerebral cortex
RUBCNL	seminal vesicle
RUBCNL	ovary
RUBCNL	spleen
RUBCNL	skin 1
RUBCNL	stomach 2
RUBCNL	pancreas
RUBCNL	pancreas
RUBCNL	parathyroid gland
RUBCNL	placenta
RUBCNL	cerebellum
RUBCNL	cerebellum
RUBCNL	cerebral cortex
RUBCNL	soft tissue 2
RUBCNL	soft tissue 2
RUBCNL	skeletal muscle
RUBCNL	soft tissue 1
RUBCNL	stomach 1
RUBCNL	smooth muscle
RUBCNL	soft tissue 1
RUBCNL	spleen
RUBCNL	kidney
RUBCNL	rectum
RUBCNL	salivary gland
RUBCNL	liver
RUBCNL	soft tissue 2
RUBCNL	prostate
RUBCNL	liver
RUBCNL	lung
RUBCNL	placenta
MGRN1	esophagus
MGRN1	gallbladder
MGRN1	colon
MGRN1	fallopian tube
MGRN1	endometrium 2
MGRN1	epididymis
MGRN1	cerebellum
MGRN1	cerebellum
MGRN1	lymph node
MGRN1	nasopharynx
MGRN1	oral mucosa
MGRN1	adrenal gland
MGRN1	appendix
MGRN1	appendix
MGRN1	bone marrow
MGRN1	colon
MGRN1	colon
MGRN1	duodenum
MGRN1	endometrium 1
MGRN1	endometrium 1
MGRN1	endometrium 2
MGRN1	skeletal muscle
MGRN1	cerebellum
MGRN1	cerebral cortex
MGRN1	cerebral cortex
MGRN1	cerebral cortex
MGRN1	cerebral cortex
MGRN1	cervix, uterine
MGRN1	breast
MGRN1	breast
MGRN1	breast
MGRN1	bronchus
MGRN1	caudate
MGRN1	caudate
MGRN1	spleen
MGRN1	stomach 1
MGRN1	stomach 2
MGRN1	heart muscle
MGRN1	hippocampus
MGRN1	hippocampus
MGRN1	kidney
MGRN1	soft tissue 1
MGRN1	soft tissue 1
MGRN1	soft tissue 2
MGRN1	soft tissue 2
MGRN1	soft tissue 2
MGRN1	spleen
MGRN1	lymph node
MGRN1	ovary
MGRN1	pancreas
MGRN1	skin 1
MGRN1	skin 1
MGRN1	placenta
MGRN1	prostate
MGRN1	pancreas
MGRN1	parathyroid gland
MGRN1	seminal vesicle
MGRN1	skin 1
MGRN1	rectum
MGRN1	salivary gland
MGRN1	testis
MGRN1	smooth muscle
MGRN1	skin 1
MGRN1	skin 2
MGRN1	small intestine
MGRN1	lung
MGRN1	soft tissue 1
MGRN1	liver
MGRN1	lung
MGRN1	tonsil
MGRN1	testis
MGRN1	thyroid gland
MGRN1	tonsil
MGRN1	vagina
MGRN1	kidney
MGRN1	liver
MGRN1	urinary bladder
MGRN1	tonsil
SPG11	parathyroid gland
SPG11	placenta
SPG11	soft tissue 1
SPG11	pancreas
SPG11	stomach 2
SPG11	prostate
SPG11	smooth muscle
SPG11	thyroid gland
SPG11	tonsil
SPG11	testis
SPG11	testis
SPG11	pancreas
SPG11	small intestine
SPG11	tonsil
SPG11	appendix
SPG11	bone marrow
SPG11	breast
SPG11	appendix
SPG11	salivary gland
SPG11	seminal vesicle
SPG11	skeletal muscle
SPG11	rectum
SPG11	skin 1
SPG11	skin 1
SPG11	skin 2
SPG11	adrenal gland
SPG11	cerebral cortex
SPG11	soft tissue 1
SPG11	soft tissue 1
SPG11	soft tissue 1
SPG11	cervix, uterine
SPG11	soft tissue 2
SPG11	soft tissue 2
SPG11	soft tissue 2
SPG11	skin 1
SPG11	skin 1
SPG11	cerebellum
SPG11	cerebellum
SPG11	cerebral cortex
SPG11	stomach 1
SPG11	gallbladder
SPG11	heart muscle
SPG11	hippocampus
SPG11	hippocampus
SPG11	kidney
SPG11	kidney
SPG11	liver
SPG11	liver
SPG11	lung
SPG11	lung
SPG11	lymph node
SPG11	lymph node
SPG11	nasopharynx
SPG11	oral mucosa
SPG11	ovary
SPG11	ovary
SPG11	cerebral cortex
SPG11	breast
SPG11	breast
SPG11	bronchus
SPG11	caudate
SPG11	caudate
SPG11	cerebellum
SPG11	soft tissue 2
SPG11	spleen
SPG11	spleen
SPG11	endometrium 2
SPG11	epididymis
SPG11	cerebral cortex
SPG11	fallopian tube
SPG11	colon
SPG11	colon
SPG11	cervix, uterine
SPG11	colon
SPG11	endometrium 1
SPG11	endometrium 1
SPG11	vagina
SPG11	duodenum
SPG11	tonsil
SPG11	endometrium 2
SPG11	esophagus
SPG11	urinary bladder
VPS18	endometrium 1
VPS18	breast
VPS18	colon
VPS18	colon
VPS18	breast
VPS18	endometrium 1
VPS18	kidney
VPS18	liver
VPS18	liver
VPS18	duodenum
VPS18	cervix, uterine
VPS18	cerebral cortex
VPS18	cerebral cortex
VPS18	cervix, uterine
VPS18	bone marrow
VPS18	placenta
VPS18	breast
VPS18	bronchus
VPS18	caudate
VPS18	caudate
VPS18	cerebellum
VPS18	cerebellum
VPS18	cerebral cortex
VPS18	cerebral cortex
VPS18	adrenal gland
VPS18	appendix
VPS18	appendix
VPS18	soft tissue 1
VPS18	kidney
VPS18	soft tissue 2
VPS18	soft tissue 2
VPS18	endometrium 2
VPS18	endometrium 2
VPS18	epididymis
VPS18	cerebellum
VPS18	skin 1
VPS18	skin 2
VPS18	small intestine
VPS18	smooth muscle
VPS18	soft tissue 1
VPS18	hippocampus
VPS18	parathyroid gland
VPS18	vagina
VPS18	soft tissue 1
VPS18	prostate
VPS18	rectum
VPS18	lung
VPS18	lung
VPS18	lymph node
VPS18	lymph node
VPS18	nasopharynx
VPS18	oral mucosa
VPS18	ovary
VPS18	pancreas
VPS18	tonsil
VPS18	urinary bladder
VPS18	seminal vesicle
VPS18	skeletal muscle
VPS18	spleen
VPS18	salivary gland
VPS18	skin 1
VPS18	heart muscle
VPS18	skin 1
VPS18	skin 1
VPS18	spleen
VPS18	stomach 1
VPS18	hippocampus
VPS18	tonsil
VPS18	fallopian tube
VPS18	gallbladder
VPS18	stomach 2
VPS18	esophagus
VPS18	testis
VPS18	thyroid gland
VPS18	tonsil
VPS18	testis
NAPA	bone marrow
NAPA	appendix
NAPA	cerebral cortex
NAPA	cerebral cortex
NAPA	cervix, uterine
NAPA	cervix, uterine
NAPA	appendix
NAPA	testis
NAPA	testis
NAPA	thyroid gland
NAPA	tonsil
NAPA	colon
NAPA	lymph node
NAPA	adrenal gland
NAPA	nasopharynx
NAPA	cerebral cortex
NAPA	breast
NAPA	breast
NAPA	bronchus
NAPA	breast
NAPA	liver
NAPA	liver
NAPA	lung
NAPA	lung
NAPA	cerebral cortex
NAPA	skin 1
NAPA	skin 1
NAPA	skin 1
NAPA	skin 1
NAPA	skin 2
NAPA	small intestine
NAPA	colon
NAPA	colon
NAPA	duodenum
NAPA	endometrium 1
NAPA	endometrium 1
NAPA	endometrium 2
NAPA	endometrium 2
NAPA	epididymis
NAPA	esophagus
NAPA	fallopian tube
NAPA	gallbladder
NAPA	heart muscle
NAPA	tonsil
NAPA	tonsil
NAPA	urinary bladder
NAPA	vagina
NAPA	caudate
NAPA	cerebellum
NAPA	cerebellum
NAPA	cerebellum
NAPA	rectum
NAPA	salivary gland
NAPA	lymph node
NAPA	skeletal muscle
NAPA	stomach 2
NAPA	oral mucosa
NAPA	ovary
NAPA	ovary
NAPA	caudate
NAPA	soft tissue 1
NAPA	soft tissue 1
NAPA	soft tissue 2
NAPA	soft tissue 2
NAPA	soft tissue 2
NAPA	spleen
NAPA	seminal vesicle
NAPA	stomach 1
NAPA	soft tissue 1
NAPA	kidney
NAPA	hippocampus
NAPA	smooth muscle
NAPA	placenta
NAPA	placenta
NAPA	pancreas
NAPA	parathyroid gland
NAPA	hippocampus
NAPA	kidney
NAPA	prostate
NAPA	spleen
NAPA	pancreas
KXD1	endometrium 1
KXD1	epididymis
KXD1	cervix, uterine
KXD1	esophagus
KXD1	fallopian tube
KXD1	endometrium 2
KXD1	cerebellum
KXD1	cerebellum
KXD1	lymph node
KXD1	lymph node
KXD1	nasopharynx
KXD1	adrenal gland
KXD1	appendix
KXD1	appendix
KXD1	bone marrow
KXD1	colon
KXD1	colon
KXD1	colon
KXD1	duodenum
KXD1	endometrium 1
KXD1	soft tissue 2
KXD1	salivary gland
KXD1	cerebellum
KXD1	cerebral cortex
KXD1	cerebral cortex
KXD1	cerebral cortex
KXD1	cerebral cortex
KXD1	cervix, uterine
KXD1	breast
KXD1	breast
KXD1	breast
KXD1	bronchus
KXD1	caudate
KXD1	caudate
KXD1	soft tissue 2
KXD1	endometrium 2
KXD1	spleen
KXD1	gallbladder
KXD1	heart muscle
KXD1	hippocampus
KXD1	hippocampus
KXD1	smooth muscle
KXD1	soft tissue 1
KXD1	soft tissue 1
KXD1	soft tissue 1
KXD1	soft tissue 1
KXD1	soft tissue 2
KXD1	lung
KXD1	vagina
KXD1	ovary
KXD1	seminal vesicle
KXD1	skeletal muscle
KXD1	oral mucosa
KXD1	placenta
KXD1	pancreas
KXD1	pancreas
KXD1	parathyroid gland
KXD1	urinary bladder
KXD1	placenta
KXD1	prostate
KXD1	rectum
KXD1	skin 1
KXD1	skin 1
KXD1	skin 1
KXD1	spleen
KXD1	skin 2
KXD1	small intestine
KXD1	liver
KXD1	skin 1
KXD1	lung
KXD1	stomach 1
KXD1	stomach 2
KXD1	liver
KXD1	testis
KXD1	kidney
KXD1	kidney
KXD1	testis
KXD1	tonsil
KXD1	tonsil
KXD1	tonsil
KXD1	thyroid gland
YKT6	colon
YKT6	appendix
YKT6	cerebral cortex
YKT6	heart muscle
YKT6	cervix, uterine
YKT6	gallbladder
YKT6	appendix
YKT6	hippocampus
YKT6	colon
YKT6	bone marrow
YKT6	breast
YKT6	cerebral cortex
YKT6	lymph node
YKT6	bronchus
YKT6	caudate
YKT6	breast
YKT6	breast
YKT6	cerebellum
YKT6	cerebral cortex
YKT6	cerebral cortex
YKT6	adrenal gland
YKT6	seminal vesicle
YKT6	esophagus
YKT6	cervix, uterine
YKT6	skin 1
YKT6	skin 1
YKT6	colon
YKT6	duodenum
YKT6	caudate
YKT6	cerebellum
YKT6	cerebellum
YKT6	prostate
YKT6	rectum
YKT6	salivary gland
YKT6	epididymis
YKT6	urinary bladder
YKT6	fallopian tube
YKT6	soft tissue 2
YKT6	spleen
YKT6	spleen
YKT6	stomach 1
YKT6	hippocampus
YKT6	kidney
YKT6	kidney
YKT6	liver
YKT6	liver
YKT6	lung
YKT6	lung
YKT6	soft tissue 1
YKT6	vagina
YKT6	lymph node
YKT6	nasopharynx
YKT6	oral mucosa
YKT6	ovary
YKT6	pancreas
YKT6	pancreas
YKT6	parathyroid gland
YKT6	placenta
YKT6	placenta
YKT6	endometrium 2
YKT6	endometrium 2
YKT6	tonsil
YKT6	soft tissue 2
YKT6	soft tissue 2
YKT6	skeletal muscle
YKT6	small intestine
YKT6	skin 1
YKT6	skin 1
YKT6	skin 2
YKT6	tonsil
YKT6	endometrium 1
YKT6	endometrium 1
YKT6	tonsil
YKT6	stomach 2
YKT6	soft tissue 1
YKT6	testis
YKT6	thyroid gland
YKT6	soft tissue 1
YKT6	testis
YKT6	smooth muscle
YKT6	soft tissue 1
RAB34	cerebral cortex
RAB34	cerebral cortex
RAB34	cerebral cortex
RAB34	cervix, uterine
RAB34	kidney
RAB34	bronchus
RAB34	cervix, uterine
RAB34	kidney
RAB34	adrenal gland
RAB34	liver
RAB34	appendix
RAB34	bone marrow
RAB34	breast
RAB34	appendix
RAB34	breast
RAB34	colon
RAB34	parathyroid gland
RAB34	placenta
RAB34	placenta
RAB34	prostate
RAB34	rectum
RAB34	salivary gland
RAB34	seminal vesicle
RAB34	skeletal muscle
RAB34	skin 1
RAB34	skin 1
RAB34	breast
RAB34	colon
RAB34	pancreas
RAB34	skin 1
RAB34	colon
RAB34	duodenum
RAB34	endometrium 1
RAB34	endometrium 1
RAB34	endometrium 2
RAB34	endometrium 2
RAB34	epididymis
RAB34	esophagus
RAB34	fallopian tube
RAB34	skin 1
RAB34	ovary
RAB34	pancreas
RAB34	hippocampus
RAB34	thyroid gland
RAB34	tonsil
RAB34	tonsil
RAB34	liver
RAB34	lung
RAB34	lung
RAB34	lymph node
RAB34	lymph node
RAB34	nasopharynx
RAB34	oral mucosa
RAB34	gallbladder
RAB34	heart muscle
RAB34	hippocampus
RAB34	testis
RAB34	caudate
RAB34	caudate
RAB34	cerebellum
RAB34	cerebellum
RAB34	cerebellum
RAB34	cerebral cortex
RAB34	soft tissue 1
RAB34	soft tissue 1
RAB34	soft tissue 2
RAB34	testis
RAB34	soft tissue 2
RAB34	spleen
RAB34	spleen
RAB34	soft tissue 1
RAB34	skin 2
RAB34	small intestine
RAB34	smooth muscle
RAB34	tonsil
RAB34	soft tissue 1
RAB34	stomach 2
RAB34	stomach 1
RAB34	vagina
RAB34	urinary bladder
AMBRA1	skeletal muscle
AMBRA1	duodenum
AMBRA1	endometrium 1
AMBRA1	kidney
AMBRA1	vagina
AMBRA1	salivary gland
AMBRA1	lung
AMBRA1	kidney
AMBRA1	skin 1
AMBRA1	skin 1
AMBRA1	liver
AMBRA1	skin 1
AMBRA1	fallopian tube
AMBRA1	gallbladder
AMBRA1	lung
AMBRA1	hippocampus
AMBRA1	hippocampus
AMBRA1	rectum
AMBRA1	colon
AMBRA1	seminal vesicle
AMBRA1	caudate
AMBRA1	cerebellum
AMBRA1	cerebellum
AMBRA1	cerebellum
AMBRA1	cerebral cortex
AMBRA1	cerebral cortex
AMBRA1	cerebral cortex
AMBRA1	heart muscle
AMBRA1	cervix, uterine
AMBRA1	cervix, uterine
AMBRA1	colon
AMBRA1	breast
AMBRA1	colon
AMBRA1	soft tissue 2
AMBRA1	endometrium 1
AMBRA1	endometrium 2
AMBRA1	endometrium 2
AMBRA1	epididymis
AMBRA1	esophagus
AMBRA1	thyroid gland
AMBRA1	cerebral cortex
AMBRA1	tonsil
AMBRA1	tonsil
AMBRA1	urinary bladder
AMBRA1	soft tissue 1
AMBRA1	breast
AMBRA1	liver
AMBRA1	lymph node
AMBRA1	nasopharynx
AMBRA1	oral mucosa
AMBRA1	ovary
AMBRA1	ovary
AMBRA1	pancreas
AMBRA1	tonsil
AMBRA1	parathyroid gland
AMBRA1	placenta
AMBRA1	prostate
AMBRA1	appendix
AMBRA1	soft tissue 1
AMBRA1	bronchus
AMBRA1	caudate
AMBRA1	skin 1
AMBRA1	soft tissue 2
AMBRA1	spleen
AMBRA1	spleen
AMBRA1	soft tissue 1
AMBRA1	skin 2
AMBRA1	small intestine
AMBRA1	smooth muscle
AMBRA1	testis
AMBRA1	stomach 1
AMBRA1	bone marrow
AMBRA1	soft tissue 2
AMBRA1	breast
AMBRA1	appendix
AMBRA1	stomach 2
AMBRA1	testis
AMBRA1	adrenal gland
RAB29	tonsil
RAB29	esophagus
RAB29	fallopian tube
RAB29	gallbladder
RAB29	testis
RAB29	urinary bladder
RAB29	tonsil
RAB29	stomach 2
RAB29	appendix
RAB29	heart muscle
RAB29	adrenal gland
RAB29	appendix
RAB29	breast
RAB29	bronchus
RAB29	caudate
RAB29	stomach 1
RAB29	cerebellum
RAB29	cerebellum
RAB29	cerebellum
RAB29	cerebral cortex
RAB29	cerebral cortex
RAB29	cerebral cortex
RAB29	cerebral cortex
RAB29	cervix, uterine
RAB29	cervix, uterine
RAB29	colon
RAB29	colon
RAB29	duodenum
RAB29	caudate
RAB29	endometrium 1
RAB29	endometrium 2
RAB29	endometrium 2
RAB29	epididymis
RAB29	soft tissue 2
RAB29	soft tissue 2
RAB29	soft tissue 2
RAB29	spleen
RAB29	spleen
RAB29	breast
RAB29	ovary
RAB29	ovary
RAB29	testis
RAB29	vagina
RAB29	tonsil
RAB29	kidney
RAB29	kidney
RAB29	liver
RAB29	liver
RAB29	lung
RAB29	bone marrow
RAB29	breast
RAB29	skin 1
RAB29	skin 1
RAB29	skin 1
RAB29	pancreas
RAB29	pancreas
RAB29	parathyroid gland
RAB29	placenta
RAB29	placenta
RAB29	prostate
RAB29	rectum
RAB29	salivary gland
RAB29	seminal vesicle
RAB29	skeletal muscle
RAB29	lymph node
RAB29	lymph node
RAB29	nasopharynx
RAB29	skin 1
RAB29	endometrium 1
RAB29	smooth muscle
RAB29	soft tissue 1
RAB29	soft tissue 1
RAB29	soft tissue 1
RAB29	hippocampus
RAB29	thyroid gland
RAB29	hippocampus
RAB29	lung
RAB29	skin 2
RAB29	oral mucosa
RAB29	small intestine
VAMP8	cerebral cortex
VAMP8	caudate
VAMP8	cerebral cortex
VAMP8	skin 1
VAMP8	cerebral cortex
VAMP8	cervix, uterine
VAMP8	pancreas
VAMP8	pancreas
VAMP8	parathyroid gland
VAMP8	placenta
VAMP8	placenta
VAMP8	prostate
VAMP8	rectum
VAMP8	cerebellum
VAMP8	cerebellum
VAMP8	cerebral cortex
VAMP8	adrenal gland
VAMP8	cerebellum
VAMP8	gallbladder
VAMP8	skin 1
VAMP8	cervix, uterine
VAMP8	colon
VAMP8	colon
VAMP8	duodenum
VAMP8	endometrium 1
VAMP8	endometrium 1
VAMP8	salivary gland
VAMP8	seminal vesicle
VAMP8	skeletal muscle
VAMP8	skin 1
VAMP8	fallopian tube
VAMP8	oral mucosa
VAMP8	heart muscle
VAMP8	hippocampus
VAMP8	hippocampus
VAMP8	kidney
VAMP8	kidney
VAMP8	liver
VAMP8	liver
VAMP8	lung
VAMP8	lung
VAMP8	lymph node
VAMP8	lymph node
VAMP8	nasopharynx
VAMP8	soft tissue 2
VAMP8	ovary
VAMP8	appendix
VAMP8	appendix
VAMP8	bone marrow
VAMP8	breast
VAMP8	breast
VAMP8	breast
VAMP8	bronchus
VAMP8	caudate
VAMP8	endometrium 2
VAMP8	epididymis
VAMP8	esophagus
VAMP8	vagina
VAMP8	soft tissue 2
VAMP8	spleen
VAMP8	spleen
VAMP8	skin 1
VAMP8	skin 2
VAMP8	small intestine
VAMP8	smooth muscle
VAMP8	soft tissue 1
VAMP8	endometrium 2
VAMP8	tonsil
VAMP8	tonsil
VAMP8	urinary bladder
VAMP8	soft tissue 2
VAMP8	soft tissue 2
VAMP8	testis
VAMP8	testis
VAMP8	stomach 1
VAMP8	stomach 2
VAMP8	soft tissue 1
VAMP8	soft tissue 1
VAMP8	thyroid gland
VAMP8	tonsil
VAMP8	soft tissue 1
TARDBP	cerebellum
TARDBP	caudate
TARDBP	cerebellum
TARDBP	skin 1
TARDBP	caudate
TARDBP	salivary gland
TARDBP	appendix
TARDBP	bone marrow
TARDBP	breast
TARDBP	adrenal gland
TARDBP	breast
TARDBP	bronchus
TARDBP	prostate
TARDBP	breast
TARDBP	skeletal muscle
TARDBP	spleen
TARDBP	skin 1
TARDBP	rectum
TARDBP	skin 2
TARDBP	small intestine
TARDBP	smooth muscle
TARDBP	soft tissue 1
TARDBP	soft tissue 1
TARDBP	soft tissue 1
TARDBP	soft tissue 1
TARDBP	soft tissue 2
TARDBP	soft tissue 2
TARDBP	liver
TARDBP	lung
TARDBP	spleen
TARDBP	skin 1
TARDBP	stomach 2
TARDBP	testis
TARDBP	testis
TARDBP	thyroid gland
TARDBP	tonsil
TARDBP	tonsil
TARDBP	tonsil
TARDBP	urinary bladder
TARDBP	vagina
TARDBP	colon
TARDBP	colon
TARDBP	lung
TARDBP	stomach 1
TARDBP	nasopharynx
TARDBP	oral mucosa
TARDBP	ovary
TARDBP	pancreas
TARDBP	pancreas
TARDBP	parathyroid gland
TARDBP	placenta
TARDBP	placenta
TARDBP	cervix, uterine
TARDBP	liver
TARDBP	esophagus
TARDBP	endometrium 2
TARDBP	endometrium 2
TARDBP	skin 1
TARDBP	cerebral cortex
TARDBP	cerebellum
TARDBP	cerebral cortex
TARDBP	cerebral cortex
TARDBP	epididymis
TARDBP	cerebral cortex
TARDBP	cervix, uterine
TARDBP	kidney
TARDBP	heart muscle
TARDBP	lymph node
TARDBP	fallopian tube
TARDBP	colon
TARDBP	hippocampus
TARDBP	hippocampus
TARDBP	gallbladder
TARDBP	lymph node
TARDBP	endometrium 1
TARDBP	kidney
TARDBP	duodenum
TARDBP	endometrium 1
OPTN	appendix
OPTN	bone marrow
OPTN	breast
OPTN	cerebral cortex
OPTN	cerebral cortex
OPTN	appendix
OPTN	cerebral cortex
OPTN	bronchus
OPTN	caudate
OPTN	caudate
OPTN	kidney
OPTN	liver
OPTN	liver
OPTN	adrenal gland
OPTN	thyroid gland
OPTN	endometrium 2
OPTN	epididymis
OPTN	esophagus
OPTN	breast
OPTN	breast
OPTN	cervix, uterine
OPTN	colon
OPTN	colon
OPTN	colon
OPTN	duodenum
OPTN	endometrium 1
OPTN	endometrium 1
OPTN	endometrium 2
OPTN	cerebellum
OPTN	placenta
OPTN	placenta
OPTN	cerebral cortex
OPTN	cervix, uterine
OPTN	soft tissue 2
OPTN	soft tissue 2
OPTN	spleen
OPTN	spleen
OPTN	stomach 1
OPTN	stomach 2
OPTN	testis
OPTN	testis
OPTN	small intestine
OPTN	smooth muscle
OPTN	soft tissue 1
OPTN	prostate
OPTN	lung
OPTN	lung
OPTN	lymph node
OPTN	lymph node
OPTN	nasopharynx
OPTN	oral mucosa
OPTN	ovary
OPTN	cerebellum
OPTN	cerebellum
OPTN	pancreas
OPTN	parathyroid gland
OPTN	seminal vesicle
OPTN	soft tissue 1
OPTN	rectum
OPTN	salivary gland
OPTN	skin 1
OPTN	skeletal muscle
OPTN	skin 1
OPTN	skin 1
OPTN	soft tissue 2
OPTN	skin 1
OPTN	skin 2
OPTN	soft tissue 1
OPTN	hippocampus
OPTN	gallbladder
OPTN	heart muscle
OPTN	hippocampus
OPTN	tonsil
OPTN	kidney
OPTN	vagina
OPTN	pancreas
OPTN	tonsil
OPTN	fallopian tube
OPTN	tonsil
OPTN	urinary bladder
