HGNC	Tissue
GABARAPL2	kidney
GABARAPL2	liver
GABARAPL2	liver
GABARAPL2	urinary bladder
GABARAPL2	vagina
GABARAPL2	lymph node
GABARAPL2	lymph node
GABARAPL2	nasopharynx
GABARAPL2	esophagus
GABARAPL2	fallopian tube
GABARAPL2	gallbladder
GABARAPL2	breast
GABARAPL2	breast
GABARAPL2	bronchus
GABARAPL2	caudate
GABARAPL2	caudate
GABARAPL2	cerebellum
GABARAPL2	cerebellum
GABARAPL2	cerebellum
GABARAPL2	spleen
GABARAPL2	spleen
GABARAPL2	endometrium 1
GABARAPL2	endometrium 2
GABARAPL2	endometrium 2
GABARAPL2	heart muscle
GABARAPL2	hippocampus
GABARAPL2	cervix, uterine
GABARAPL2	cervix, uterine
GABARAPL2	colon
GABARAPL2	colon
GABARAPL2	colon
GABARAPL2	soft tissue 2
GABARAPL2	duodenum
GABARAPL2	endometrium 1
GABARAPL2	hippocampus
GABARAPL2	lung
GABARAPL2	epididymis
GABARAPL2	lung
NSF	skin 1
NSF	cervix, uterine
NSF	breast
NSF	cervix, uterine
NSF	gallbladder
NSF	hippocampus
NSF	hippocampus
NSF	kidney
NSF	cerebral cortex
NSF	cerebral cortex
NSF	cerebral cortex
NSF	cerebral cortex
NSF	heart muscle
NSF	ovary
NSF	ovary
NSF	pancreas
NSF	bone marrow
NSF	parathyroid gland
NSF	placenta
NSF	placenta
NSF	pancreas
NSF	cerebellum
NSF	adrenal gland
NSF	appendix
NSF	appendix
NSF	skin 1
NSF	spleen
NSF	stomach 1
NSF	colon
NSF	colon
NSF	colon
NSF	duodenum
NSF	endometrium 1
NSF	prostate
NSF	rectum
NSF	salivary gland
NSF	seminal vesicle
NSF	skeletal muscle
NSF	fallopian tube
NSF	oral mucosa
NSF	soft tissue 2
NSF	stomach 2
NSF	testis
NSF	testis
NSF	kidney
NSF	liver
NSF	liver
NSF	lung
NSF	lung
NSF	lymph node
NSF	lymph node
NSF	nasopharynx
NSF	soft tissue 2
NSF	soft tissue 2
NSF	spleen
NSF	caudate
NSF	breast
NSF	breast
NSF	bronchus
NSF	epididymis
NSF	caudate
NSF	cerebellum
NSF	cerebellum
NSF	skin 2
NSF	esophagus
NSF	soft tissue 1
NSF	skin 1
NSF	endometrium 2
NSF	small intestine
NSF	skin 1
NSF	endometrium 2
NSF	tonsil
NSF	vagina
NSF	endometrium 1
NSF	tonsil
NSF	thyroid gland
NSF	soft tissue 1
NSF	urinary bladder
NSF	tonsil
NSF	smooth muscle
NSF	soft tissue 1
NSF	soft tissue 1
ATP2A3	cerebral cortex
ATP2A3	fallopian tube
ATP2A3	cerebellum
ATP2A3	cerebellum
ATP2A3	cerebellum
ATP2A3	cerebral cortex
ATP2A3	salivary gland
ATP2A3	lung
ATP2A3	epididymis
ATP2A3	esophagus
ATP2A3	adrenal gland
ATP2A3	appendix
ATP2A3	appendix
ATP2A3	breast
ATP2A3	breast
ATP2A3	breast
ATP2A3	bronchus
ATP2A3	caudate
ATP2A3	caudate
ATP2A3	rectum
ATP2A3	endometrium 2
ATP2A3	seminal vesicle
ATP2A3	cerebral cortex
ATP2A3	cerebral cortex
ATP2A3	cervix, uterine
ATP2A3	cervix, uterine
ATP2A3	bone marrow
ATP2A3	pancreas
ATP2A3	parathyroid gland
ATP2A3	placenta
ATP2A3	placenta
ATP2A3	prostate
ATP2A3	endometrium 1
ATP2A3	liver
ATP2A3	endometrium 2
ATP2A3	soft tissue 2
ATP2A3	spleen
ATP2A3	spleen
ATP2A3	stomach 1
ATP2A3	gallbladder
ATP2A3	heart muscle
ATP2A3	hippocampus
ATP2A3	hippocampus
ATP2A3	kidney
ATP2A3	kidney
ATP2A3	liver
ATP2A3	soft tissue 1
ATP2A3	vagina
ATP2A3	soft tissue 2
ATP2A3	lung
ATP2A3	lymph node
ATP2A3	lymph node
ATP2A3	nasopharynx
ATP2A3	oral mucosa
ATP2A3	ovary
ATP2A3	ovary
ATP2A3	pancreas
ATP2A3	duodenum
ATP2A3	endometrium 1
ATP2A3	tonsil
ATP2A3	soft tissue 2
ATP2A3	skin 1
ATP2A3	skeletal muscle
ATP2A3	skin 1
ATP2A3	skin 1
ATP2A3	colon
ATP2A3	skin 1
ATP2A3	colon
ATP2A3	colon
ATP2A3	urinary bladder
ATP2A3	tonsil
ATP2A3	tonsil
ATP2A3	soft tissue 1
ATP2A3	testis
ATP2A3	thyroid gland
ATP2A3	stomach 2
ATP2A3	testis
ATP2A3	skin 2
ATP2A3	smooth muscle
ATP2A3	soft tissue 1
ATP2A3	small intestine
RAB7A	cerebral cortex
RAB7A	epididymis
RAB7A	endometrium 2
RAB7A	caudate
RAB7A	cerebellum
RAB7A	cerebellum
RAB7A	liver
RAB7A	endometrium 2
RAB7A	cerebral cortex
RAB7A	appendix
RAB7A	appendix
RAB7A	bone marrow
RAB7A	adrenal gland
RAB7A	breast
RAB7A	bronchus
RAB7A	caudate
RAB7A	prostate
RAB7A	cerebellum
RAB7A	parathyroid gland
RAB7A	rectum
RAB7A	salivary gland
RAB7A	seminal vesicle
RAB7A	cerebral cortex
RAB7A	cerebral cortex
RAB7A	cervix, uterine
RAB7A	breast
RAB7A	breast
RAB7A	oral mucosa
RAB7A	ovary
RAB7A	pancreas
RAB7A	pancreas
RAB7A	endometrium 1
RAB7A	endometrium 1
RAB7A	soft tissue 2
RAB7A	soft tissue 2
RAB7A	soft tissue 2
RAB7A	spleen
RAB7A	spleen
RAB7A	esophagus
RAB7A	fallopian tube
RAB7A	gallbladder
RAB7A	heart muscle
RAB7A	hippocampus
RAB7A	hippocampus
RAB7A	kidney
RAB7A	kidney
RAB7A	urinary bladder
RAB7A	vagina
RAB7A	lymph node
RAB7A	liver
RAB7A	lung
RAB7A	lung
RAB7A	colon
RAB7A	lymph node
RAB7A	nasopharynx
RAB7A	colon
RAB7A	placenta
RAB7A	duodenum
RAB7A	soft tissue 1
RAB7A	soft tissue 1
RAB7A	skin 1
